Item Title;Publication Title;Book Series Title;Journal Volume;Journal Issue;Item DOI;Authors;Publication Year;URL;Content Type;;;;
An Overview of Tableau Algorithms for Description Logics;Studia Logica;;69;1;10.1023/A:1013882326814;Franz BaaderUlrike Sattler;2001;http://link.springer.com/article/10.1023/A%3A1013882326814;Article;;;;
Dynamic description logic model for data integration;Frontiers of Computer Science in China;;2;3;10.1007/s11704-008-0030-y;Guoshun HaoShilong MaYuefei SuiJianghua Lv;2008;http://link.springer.com/article/10.1007/s11704-008-0030-y;Article;;;;
The Complexity of Finite Model Reasoning in Description Logics;Automated Deduction É?? CADE-19;;;;10.1007/978-3-540-45085-6_6;Carsten LutzUlrike SattlerLidia Tendera;2003;http://link.springer.com/chapter/10.1007/978-3-540-45085-6_6;Chapter;;;;
Formal and Conceptual Comparison of Ontology Mapping Languages;Modular Ontologies;;;;10.1007/978-3-642-01907-4_13;Saartje BrockmansPeter HaaseLuciano SerafiniHeiner Stuckenschmidt;2009;http://link.springer.com/chapter/10.1007/978-3-642-01907-4_13;Chapter;;;;
Description Logics: Formal Foundation for Web Ontology Engineering;Description Logics in Multimedia Reasoning;;;;10.1007/978-3-319-54066-5_4;Leslie F. Sikos;2017;http://link.springer.com/chapter/10.1007/978-3-319-54066-5_4;Chapter;;;;
Reasoning in Description Logics: Basics; Extensions; and Relatives;Reasoning Web;;10.1007/978-3-540-74615-7_2;Ulrike Sattler;2007;http://link.springer.com/chapter/10.1007/978-3-540-74615-7_2;Chapter;;;;
A Tableau Algorithm for Description Logics with Concrete Domains and General TBoxes;Journal of Automated Reasoning;;38;01/mar;10.1007/s10817-006-9049-7;Carsten LutzMaja Miliéçié?;2007;http://link.springer.com/article/10.1007/s10817-006-9049-7;Article;;;;
Ontologies and Databases: The DL-Lite Approach;Reasoning Web. Semantic Technologies for Information Systems;;;;10.1007/978-3-642-03754-2_7;Diego CalvaneseGiuseppe De GiacomoDomenico LemboMaurizio LenzeriniAntonella PoggiMariano Rodriguez-MuroRiccardo Rosati;2009;http://link.springer.com/chapter/10.1007/978-3-642-03754-2_7;Chapter;;;;
Generic Conceptual Framework for Handling Schema Diversity during Source Integration;Advances in Databases and Information Systems;;;;10.1007/978-3-642-32741-4_14;Selma KhouriLadjel BellatrecheNabila Berkani;2013;http://link.springer.com/chapter/10.1007/978-3-642-32741-4_14;Chapter;;;;
Trends and Issues in Description Logics Frameworks for Image Interpretation;Artificial Intelligence: Theories; Models and Applications;;;10.1007/978-3-642-12842-4_10;Stamatia DasiopoulouIoannis Kompatsiaris;2010;http://link.springer.com/chapter/10.1007/978-3-642-12842-4_10;Chapter;;;;
